         975778 function calls (971875 primitive calls) in 3.068 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2289    0.001    0.000    0.002    0.000 indexing.py:2685(<genexpr>)
     1137    0.001    0.000    0.002    0.000 utils.py:62(is_list_like_indexer)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1056(_find_spec)
     3498    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_scalar}
        6    0.000    0.000    0.002    0.000 common.py:1155(_is_binary_mode)
      744    0.002    0.000    0.002    0.000 config.py:647(_get_deprecated_option)
        3    0.000    0.000    0.002    0.001 python_parser.py:72(__init__)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1496(find_spec)
       45    0.001    0.000    0.001    0.000 {pandas._libs.ops.maybe_convert_bool}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1464(_get_spec)
      425    0.001    0.000    0.001    0.000 construction.py:673(_sanitize_ndim)
      382    0.001    0.000    0.001    0.000 blocks.py:232(_standardize_fill_value)
        9    0.000    0.000    0.001    0.000 base.py:477(__new__)
     1152    0.001    0.000    0.001    0.000 indexing.py:1144(<genexpr>)
      742    0.001    0.000    0.001    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      363    0.001    0.000    0.001    0.000 common.py:977(is_numeric_v_string_like)
     1137    0.001    0.000    0.001    0.000 indexing.py:878(<genexpr>)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
     2289    0.001    0.000    0.001    0.000 indexing.py:2694(<genexpr>)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap_external>:1127(get_data)
        1    0.000    0.000    0.001    0.001 common.py:1176(_get_binary_io_classes)
        1    0.000    0.000    0.001    0.001 _optional.py:81(import_optional_dependency)
        1    0.000    0.000    0.001    0.001 __init__.py:108(import_module)
      372    0.001    0.000    0.001    0.000 common.py:1587(pandas_dtype)
        1    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1194(_gcd_import)
      382    0.001    0.000    0.001    0.000 managers.py:1812(from_blocks)
      765    0.001    0.000    0.001    0.000 flags.py:89(allows_duplicate_labels)
      383    0.001    0.000    0.001    0.000 blocks.py:2346(get_block_type)
        3    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      379    0.001    0.000    0.001    0.000 frame.py:4402(_clear_item_cache)
      777    0.001    0.000    0.001    0.000 flags.py:53(__init__)
        6    0.000    0.000    0.001    0.000 std.py:1287(fp_write)
     1526    0.001    0.000    0.001    0.000 frame.py:952(axes)
      775    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
        1    0.000    0.000    0.001    0.001 _monitor.py:30(__init__)
      805    0.001    0.000    0.001    0.000 common.py:1255(is_1d_only_ea_dtype)
      390    0.001    0.000    0.001    0.000 blocks.py:2467(extend_blocks)
       14    0.001    0.000    0.001    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.001    0.001 threading.py:938(start)
      775    0.001    0.000    0.001    0.000 blocks.py:1007(iget)
        1    0.001    0.001    0.001    0.001 {built-in method io.open_code}
     1152    0.001    0.000    0.001    0.000 indexing.py:1143(<genexpr>)
        1    0.000    0.000    0.001    0.001 threading.py:604(wait)
     1233    0.001    0.000    0.001    0.000 {method 'index' of 'range' objects}
        1    0.000    0.000    0.001    0.001 threading.py:288(wait)
        4    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.lock' objects}
      372    0.001    0.000    0.001    0.000 {method 'add_index_reference' of 'pandas._libs.internals.BlockValuesRefs' objects}
      425    0.001    0.000    0.001    0.000 construction.py:712(_sanitize_str_dtypes)
     1137    0.001    0.000    0.001    0.000 indexing.py:877(<genexpr>)
      792    0.001    0.000    0.001    0.000 common.py:149(cast_scalar_indexer)
        3    0.001    0.000    0.001    0.000 utils.py:296(_screen_shape_windows)
