         595871778 function calls (595868930 primitive calls) in 260.344 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      557    0.001    0.000    0.002    0.000 series.py:1372(_set_as_cached)
      556    0.001    0.000    0.002    0.000 missing.py:184(_isna)
      510    0.001    0.000    0.002    0.000 blocks.py:2483(ensure_block_shape)
        3    0.000    0.000    0.002    0.001 readers.py:1673(_make_engine)
      182    0.001    0.000    0.002    0.000 <frozen ntpath>:231(splitext)
     1530    0.001    0.000    0.002    0.000 utils.py:62(is_list_like_indexer)
     2645    0.002    0.000    0.002    0.000 {pandas._libs.lib.is_list_like}
       63    0.001    0.000    0.002    0.000 {pandas._libs.lib.maybe_convert_objects}
       54    0.000    0.000    0.002    0.000 cast.py:1147(maybe_infer_to_datetimelike)
      247    0.001    0.000    0.002    0.000 std.py:106(release)
      513    0.001    0.000    0.002    0.000 blocks.py:232(_standardize_fill_value)
     3165    0.001    0.000    0.002    0.000 indexing.py:2685(<genexpr>)
     1635    0.001    0.000    0.002    0.000 indexing.py:1144(<genexpr>)
     1530    0.001    0.000    0.001    0.000 indexing.py:878(<genexpr>)
     3165    0.001    0.000    0.001    0.000 indexing.py:2694(<genexpr>)
      238    0.001    0.000    0.001    0.000 std.py:186(__format__)
      513    0.001    0.000    0.001    0.000 managers.py:1812(from_blocks)
       45    0.001    0.000    0.001    0.000 {pandas._libs.ops.maybe_convert_bool}
      927    0.001    0.000    0.001    0.000 {built-in method _codecs.utf_8_decode}
      714    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
        3    0.000    0.000    0.001    0.000 series.py:524(_init_dict)
        3    0.000    0.000    0.001    0.000 blocks.py:451(coerce_to_target_dtype)
     1418    0.001    0.000    0.001    0.000 range.py:963(__len__)
      510    0.001    0.000    0.001    0.000 frame.py:4402(_clear_item_cache)
       30    0.000    0.000    0.001    0.000 base.py:7512(ensure_index)
      182    0.001    0.000    0.001    0.000 <frozen genericpath>:121(_splitext)
        9    0.000    0.000    0.001    0.000 base.py:477(__new__)
