         1013500 function calls (1011422 primitive calls) in 5.586 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      874    0.001    0.000    0.001    0.000 base.py:5299(__contains__)
      493    0.001    0.000    0.001    0.000 blocks.py:232(_standardize_fill_value)
      493    0.001    0.000    0.001    0.000 managers.py:1812(from_blocks)
        3    0.000    0.000    0.001    0.000 series.py:524(_init_dict)
     5626    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_integer}
       30    0.000    0.000    0.001    0.000 base.py:7512(ensure_index)
      162    0.000    0.000    0.001    0.000 <frozen ntpath>:231(splitext)
        9    0.000    0.000    0.001    0.000 base.py:477(__new__)
        3    0.000    0.000    0.001    0.000 blocks.py:451(coerce_to_target_dtype)
     2030    0.001    0.000    0.001    0.000 frame.py:952(axes)
      490    0.000    0.000    0.001    0.000 frame.py:4402(_clear_item_cache)
        1    0.001    0.001    0.001    0.001 utils.py:296(_screen_shape_windows)
     3455    0.001    0.000    0.001    0.000 {pandas._libs.lib.is_scalar}
      501    0.001    0.000    0.001    0.000 blocks.py:2467(extend_blocks)
        3    0.000    0.000    0.001    0.000 common.py:652(get_handle)
      493    0.000    0.000    0.001    0.000 frame.py:1542(__len__)
     1575    0.000    0.000    0.001    0.000 indexing.py:1143(<genexpr>)
     4853    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
      990    0.001    0.000    0.001    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
        2    0.000    0.000    0.001    0.000 std.py:1266(close)
        4    0.000    0.000    0.001    0.000 utils.py:385(disp_trim)
     1470    0.000    0.000    0.001    0.000 indexing.py:877(<genexpr>)
     1000    0.000    0.000    0.001    0.000 common.py:149(cast_scalar_indexer)
      162    0.000    0.000    0.001    0.000 <frozen genericpath>:121(_splitext)
     1489    0.001    0.000    0.001    0.000 managers.py:1799(__init__)
      990    0.001    0.000    0.001    0.000 blocks.py:1007(iget)
      493    0.000    0.000    0.001    0.000 utils.py:123(check_setitem_lengths)
     1886    0.001    0.000    0.001    0.000 {method 'index' of 'range' objects}
     1033    0.000    0.000    0.001    0.000 range.py:963(__len__)
     1027    0.000    0.000    0.000    0.000 common.py:1255(is_1d_only_ea_dtype)
     1050    0.000    0.000    0.000    0.000 base.py:6238(_index_as_unique)
     4276    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
      907    0.000    0.000    0.000    0.000 inference.py:334(is_hashable)
     1476    0.000    0.000    0.000    0.000 generic.py:548(_get_axis_number)
     2916    0.000    0.000    0.000    0.000 {pandas._libs.lib.is_iterator}
     1480    0.000    0.000    0.000    0.000 managers.py:169(blknos)
        3    0.000    0.000    0.000    0.000 python_parser.py:380(_infer_columns)
      490    0.000    0.000    0.000    0.000 inference.py:195(is_array_like)
        3    0.000    0.000    0.000    0.000 config_class.py:295(load_datafiles_names_from_stored_path)
      487    0.000    0.000    0.000    0.000 blocks.py:1023(set_inplace)
        3    0.000    0.000    0.000    0.000 <frozen genericpath>:39(isdir)
      490    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
     1015    0.000    0.000    0.000    0.000 indexing.py:289(loc)
        3    0.000    0.000    0.000    0.000 {built-in method nt.stat}
       47    0.000    0.000    0.000    0.000 common.py:1268(is_extension_array_dtype)
     1505    0.000    0.000    0.000    0.000 generic.py:659(ndim)
     1477    0.000    0.000    0.000    0.000 managers.py:185(blklocs)
        9    0.000    0.000    0.000    0.000 python_parser.py:705(_next_line)
      490    0.000    0.000    0.000    0.000 indexing.py:2244(_ensure_iterable_column_indexer)
        3    0.000    0.000    0.000    0.000 _exceptions.py:33(find_stack_level)
        3    0.000    0.000    0.000    0.000 series.py:4960(reindex)
      506    0.000    0.000    0.000    0.000 flags.py:89(allows_duplicate_labels)
        3    0.000    0.000    0.000    0.000 generic.py:5266(reindex)
       63    0.000    0.000    0.000    0.000 numeric.py:289(full)
        3    0.000    0.000    0.000    0.000 series.py:5478(isna)
      490    0.000    0.000    0.000    0.000 indexing.py:966(_validate_key_length)
      518    0.000    0.000    0.000    0.000 flags.py:53(__init__)
        3    0.000    0.000    0.000    0.000 generic.py:8402(isna)
      535    0.000    0.000    0.000    0.000 base.py:908(__len__)
      490    0.000    0.000    0.000    0.000 managers.py:230(is_single_block)
      490    0.000    0.000    0.000    0.000 {method 'reshape' of 'numpy.ndarray' objects}
      996    0.000    0.000    0.000    0.000 managers.py:1902(_block)
     2053    0.000    0.000    0.000    0.000 typing.py:2214(cast)
        3    0.000    0.000    0.000    0.000 python_parser.py:628(_buffered_line)
        3    0.000    0.000    0.000    0.000 {built-in method io.open}
     1659    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        3    0.000    0.000    0.000    0.000 common.py:289(_get_filepath_or_buffer)
